Province;Regency;Category;Name;Price;Rating;Jumlah Rating
Aceh;Kabupaten Aceh Jaya;Alam;Pantai Rigaih;;4.1;199
Aceh;Kabupaten Aceh Jaya;Alam;Teunom River;;3.8;4
Aceh;Kabupaten Aceh Jaya;Alam;Pulau Reusam;;3.9;14
Aceh;Kabupaten Aceh Jaya;Alam;Pulau Keueh;;4.4;29
Aceh;Kabupaten Aceh Jaya;Alam;Pulau Kluang;;4.8;21
Aceh;Kabupaten Aceh Selatan;Alam;Tapak Tuan Tapa;;4.4;1716
Aceh;Kabupaten Aceh Selatan;Religi;Masjid Agung Istiqamah Tapaktuan;;4.8;303
Aceh;Kabupaten Aceh Selatan;Alam;Pantai Sawang Biduk Buruak (SBB);;4.4;271
Aceh;Kabupaten Aceh Selatan;Alam;Air Terjun Tingkat Tujuh;;4.3;308
Aceh;Kabupaten Aceh Selatan;Alam;PULAU DUA;;4.6;92
Aceh;Kabupaten Aceh Selatan;Alam;Pantai Batee Puteh;;4.4;47
Aceh;Kabupaten Aceh Selatan;Alam;Jembatan Krueng Baru;;4.2;83
Aceh;Kabupaten Aceh Selatan;Alam;Pantai Lhok Rukam;;4.5;22
Aceh;Kabupaten Aceh Selatan;Sejarah;Benteng Kerajaan Trumon  Cagar Budaya Aceh Selatatan;;4.2;35
Aceh;Kabupaten Aceh Selatan;Alam;Puncak Grapella Tapaktuan;;4.4;21
Aceh;Kabupaten Aceh Selatan;Alam;Pantai Pasir Putih;;4.0;134
Aceh;Kabupaten Aceh Selatan;Alam;Gunung Lampu;;4.4;12
Aceh;Kabupaten Aceh Selatan;Alam;Mount Leuser National Park;;4.5;202
Aceh;Kabupaten Aceh Singkil;Alam;Pulau Palambakbesar;;4.9;14
Aceh;Kabupaten Aceh Singkil;Alam;Nirvana Diving Taïlana Island;;4.5;32
Aceh;Kabupaten Aceh Singkil;Alam;Pulau Banyak Travel;;4.2;25
Aceh;Kabupaten Aceh Singkil;Alam;Pulau Asok;;4.8;9
Aceh;Kabupaten Aceh Singkil;Alam;Pantai Cemara Indah;;4.3;9
Aceh;Kabupaten Aceh Singkil;Alam;Pulau Rangitkecil;;4.7;33
Aceh;Kabupaten Aceh Singkil;Alam;Ujung Lolok;;5.0;1
Aceh;Kabupaten Aceh Singkil;Alam;Pantai Pulo Sarok;;4.1;57
Aceh;Kabupaten Aceh Tamiang;Alam;Tourism Kuala Paret;;4.3;131
